countries	var_analyzed	2021/5	2021/6	2021/7	2021/8	2021/9	2021/10	2021/11	2021/12	2022/1	2022/2	2022/3	2022/4	2022/5	2022/6	2022/7	2022/8	2022/9	2022/10	2022/11
Bhutan	rep_rate	1,208	1,026	0,858	0,599	0,300	0,493	0,592	0,801	1,487	1,296	1,178	0,885	0,268	0,480	0,804	1,008	0,693	0,799	0,861
Bhutan	excess_mortality	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bhutan	vacc_hundred	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolivia	deaths_million	1188,143	1371,633	1457,856	1509,475	1532,626	1548,169	1568,294	1609,933	1713,907	1753,747	1791,05	1792,359	1795,468	1795,877	1804,712	1815,919	1819,109	1819,273	1819,927
Bolivia	cases_million	30372,672	35963,67	38735,404	40156,612	40939,163	42014,006	43975,293	49063,106	70001,392	73084,642	73783,916	74031,868	74349,928	75810,648	84873,227	90121,215	90661,949	90758,889	90892,968
Bolivia	icu_million	NA	19,224	13,662	10,553	6,79	7,853	8,181	10,798	16,852	12,107	4,172	3,927	3,681	2,127	4,499	4,581	2,372	NA	NA
Bolivia	rep_rate	1,169	0,976	0,879	0,906	0,947	1,140	1,207	1,320	1,144	0,619	0,738	0,859	1,237	1,441	1,369	0,776	0,573	0,809	1,435
Bolivia	excess_mortality	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolivia	vacc_hundred	2,86	5,77	13,31	22,48	NA	31,59	33,97	37,58	42,94	45,85	47,46	48,4	48,85	49,27	49,69	50,12	50,36	NA	NA
Bonaire Sint Eustatius and Saba	deaths_million	628,419	628,419	628,419	628,419	702,351	739,317	813,249	850,214	1035,044	1145,941	1145,941	1256,839	1293,805	1367,736	1367,736	1404,702	1404,702	1404,702	1404,702
Bonaire Sint Eustatius and Saba	cases_million	59625,906	60956,676	63100,695	66205,826	77480,408	90011,829	108605,648	125905,663	258797,871	280275,026	315688,304	360232,145	373022,327	384629,602	400487,949	415126,423	419377,495	423258,909	427140,322
Bonaire Sint Eustatius and Saba	icu_million	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bonaire Sint Eustatius and Saba	rep_rate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bonaire Sint Eustatius and Saba	excess_mortality	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bonaire Sint Eustatius and Saba	vacc_hundred	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
